	895
OFFICE OF AIR FORCE HISTORY	1
UNITED STATES DEPARTMENT OF JUSTICE LAW ENFORCEMENT ASSISTANCE ADMINISTRATION NATIONAL INSTITUTE FOR JUVENILE JUSTICE AND DELINQUENCY PREVENTION	1
DEPARTMENT OF TRANSPORTATION OFFICE OF SECRETARY OFFICE OF RESEARCH AND DEVELOPMENT POLICY	1
ANDERSEN	1
OFFICE OF FEDERAL ELECTIONS UNITED STATES GENERAL ACCOUNTING OFFICE	1
INTERNATIONAL ECONOMIC POLICY AND RESEARCH	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC SERVICES ADMINISTRATION OFFICE OF HUMAN DEVELOPMENT	1
SENATE COMMITTEE ON	1
DEPARTMENT OF TRANSPORTATION URBAN MASS TRANSPORTATION ADMINISTRATION OFFICE OF TECHNOLOGY DEVELOPMENT AND DEPLOYMENT	1
NATIONAL CREDIT UNION ADMINISTRATION	1
OFFICE OF RESEARCH AND DEVELOPMENT UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	1
ADVISORY COMMISSION	1
DEPARTMENT OF AGRICULTURE FOREST SERVICE PACIFIC NORTHWEST REGION	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF EDUCATION BUREAU OF OCCUPATIONAL AND ADULT EDUCATION	1
UNITED STATES CONSUMER PRODUCT SAFETY COMMISSION BUREAU OF EPIDEMIOLOGY	1
OFFICE OF MINORITY BUSINESS ENTERPRISE UNITED STATES DEPARTMENT OF COMMERCE	1
DISTRIBUTED BY CYSTIC FIBROSIS FOUNDATION	1
DEPARTMENT OF COMMERCE NATIONAL BUREAU OF STANDARDS INSTITUTE FOR APPLIED TECHNOLOGY	1
INTERNATIONAL FEDERATION ON AGEING	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE REGION II	1
OFFICE OF CAREER EDUCATION UNITED STATES OFFICE OF EDUCATION	1
RESEARCH APPLIED TO NATIONAL NEEDS RANN DIVISION OF SOCIAL SYSTEMS AND HUMAN RESOURCES NATIONAL SCIENCE FOUNDATION	1
SUPREME COURT	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF HUMAN DEVELOPMENT/OFFICE OF CHILD DEVELOPMENT HEAD START BUREAU	1
NATIONAL SPACE SCIENCE DATA CENTER NATIONAL AERONAUTICS AND SPACE ADMINISTRATION GODDARD SPACE FLIGHT CENTER	1
REGISTER	1
UNITED STATES DEPARTMENT OF COMMERCE DOMESTIC AND INTERNATIONAL BUSINESS ADMINISTRATION BUREAU OF EAST-WEST TRADE OFFICE OF EAST-WEST POLICY AND PLANNING	1
DEPARTMENT OF JUSTICE LAW ENFORCEMENT ASSISTANCE ADMINISTRATION OFFICE OF JUVENILE JUSTICE AND DELINQUENCY PREVENTION NATIONAL INSTITUTE FOR JUVENILE JUSTICE AND DELINQUENCY PREVENTION	1
APPLIED MANAGEMENT SCIENCES INC	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE EDUCATION DIVISON NATIONAL INSTITUTE OF EDUCATION EDUCATION AND WORK GROUP	1
BUREAU OF ALCOHOL TOBACCO AND FIREARMS	1
BUREAU OF ECONOMICS COMMISSION	1
UNITED STATES DEPARTMENT OF TRANSPORTATION FEDERAL HIGHWAY ADMINISTRATION IMPLEMENTATION DIVISION OFFICES OF RESEARCH AND DEVELOPMENT	1
UNITED STATES DEPARTMENT OF INTERIOR BUREAU OF INDIAN AFFAIRS UNITED STATES GOVERNMENT PRINTING OFFICE	1
NATIONAL COUNCIL ON INDIAN OPPORTUNITY OFFICE OF VICE PRESIDENT	1
COMMISSION 1981	1
DEPARTMENT OF NAVY OFFICE OF NAVAL RESEARCH FAR EAST	1
UNITED STATES DEPARTMENT OF INTERIOR BUREAU OF INDIAN AFFAIRS BRANCH OF EDUCATION	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF SECRETARY OFFICE OF ASSISTANT SECRETARY FOR PLANNING AND EVALUATION PROJECT SHARE	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE OFFICE OF ASSISTANT SECRETARY FOR HEALTH AND SURGEON GENERAL	1
UNITED STATES FISH AND WILDLIFE SERVICE OFFICE OF BIOLOGICAL SERVICES	1
UNITED STATES REHABILITATION SERVICES ADMINISTRATION	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE FOOD AND DRUG ADMINISTRATION SCIENTIFIC LIAISON STAFF OFFICE OF SCIENCE	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE SOCIAL SECURITY ADMINISTRATION OFFICE OF ADVANCED SYSTEMS	1
UNITED STATES DEPARTMENT OF ENERGY OFFICE OF CONSERVATION AND SOLAR ENERGY OFFICE OF BUILDINGS AND COMMUNITY SYSTEMS	1
DEPARTMENT OF NAVY UNITED STATES	1
SYSTEM DEVELOPMENT CORP	1
WORLD DATA CENTER A FOR SOLID EARTH GEOPHYSICS	1
SOIL CONSERVATION SERVICE UNITED STATES DEPARTMENT OF AGRICULTURE	1
PACIFIC SOUTHWEST REGION UNITED STATES DEPARTMENT OF ENERGY	1
PUBLISHED BY NCI/EPA INTERAGENCY AGREEMENT OF ENVIRONMENTAL CARCINOGENESIS	1
PUBLISHED FOR NATIONAL AIR AND SPACE MUSEUM SMITHSONIAN INSTITUTION BY SMITHSONIAN INSTITUTION PRESS	1
UNITED STATES NATIONAL ALCOHOL FUELS COMMISSION	1
FEDERAL ENERGY ADMINISTRATION OFFICE OF ENERGY CONSERVATION AND ENVIRONMENT POLICY PROGRAM DEVELOPMENT AND ENVIRONMENT	1
CONGRESSIONAL GLOBE OFFICE	1
UNITED STATES ARMY ENGINEER DISTRICT--NASHVILLE	1
COMMISSION OF FINE ARTS	1
DISTRIBUTED BY BRITISH INFORMATION SERVICES	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES FEDERAL COUNCIL ON AGING OFFICE OF HUMAN DEVELOPMENT SERVICES	1
UNITED STATES DEPARTMENT OF TRANSPORTATION FEDERAL AVIATION ADMINISTRATION OFFICE OF ENVIRONMENTAL QUALITY	1
UNITED STATES AIR FORCE ACADEMY	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE SOCIAL SECURITY ADMINISTRATION OFFICE OF POLICY OFFICE OF RESEARCH AND STATISTICS	1
TEKNEKRON RESEARCH INC HEALTH AND HUMAN SERVICES DIVISION	1
UNITED STATES DEPARTMENT OF COMMERCE UNITED STATES DEPARTMENT OF COMMERCE	1
FOREIGN PUBLICATIONS GROUP BUREAU OF INTERNATIONAL LABOR AFFAIRS	1
FEDERAL TRADE COMMISSION BUREAU OF ECONOMICS DIVISION OF IDUSTRY ANALYSIS	1
UNITED STATES DEPARTMENT OF JUSTICE COMMUNITY RELATIONS SERVICE	1
GODDARD SPACE FLIGHT CENTER	1
OFFICE OF RESEARCH AND STATISTICS	1
UNITED STATES DEPARTMENT OF JUSTICE LAW ENFORCEMENT ASSISTANCE ADMINISTRATION OFFICE OF JUVENILE JUSTICE AND DELINQUENCY PREVENTION NATIONAL INSTITUTE FOR JUVENILE JUSTICE AND DELINQUENCY PREVENTION	1
UNITED STATES DEPARTMENT OF LABOR	1
AEROSPACE RESEARCH LABORATORIES UNITED STATES AIR FORCE	1
AMERICAN GEOPHYSICAL UNION OF NATIONAL ACADEMY OF SCIENCES - NATIONAL RESEARCH COUNCIL	1
STATE AND PUBLIC LIBRARY SERVICES BRANCH OFFICE OF LIBRARIES AND LEARNING RESOURCES	1
HUDSON INSTITUTE	1
PUBLISHED FOR NATIONAL PORTRAIT GALLERY SMITHSONIAN INSTITUTION BY SMITHSONIAN INSTITUTION PRESS	1
NATIONAL COLLECTION OF FINE ARTS SMITHSONIAN INSTITUTION	1
COASTAL ECOSYSTEMS PROJECT OFFICE OF BIOLOGICAL SERVICES FISH AND WILDLIFE SERVICE UNITED STATES DEPARTMENT OF INTERIOR	1
FEDERAL ELECTION COMMISSION	1
WARNECKE/EWING-JOINT VENTURE	1
OFFICE OF FEDERAL REGISTER NATIONAL ARCHIVES AND RECORDS SERVICE	1
SCHOOL	1
OFFICE OF COMMUNITY EMPLOYMENT PROGRAMS EMPLOYMENT AND TRAINING ADMINISTRATION UNITED STATES DEPARTMENT OF LABOR	1
INSTITUTES	1
DEPARTMENT OF COMMERCE INTERNATIONAL TRADE ADMINISTRATION	1
TECHNICAL INFORMATION CENTER UNITED STATES DEPARTMENT OF ENERGY	1
AMERICAN ASSOCIATION OF COLLEGIATE REGISTRARS AND ADMISSIONS OFFICERS	1
ACADEMY	1
INSTITUTE FOR WATER RESOURCES	1
DEPARTMENT OF TRANSPORTATION FEDERAL HIGHWAY ADMINISTRATION OFFICE OF HIGHWAY PLANNING	1
ERIC DOCUMENT REPRODUCTION CENTER	1
DEPARTMENT OF TRANSPORTATION FEDERAL HIGHWAY ADMINISTRATION OFFICE OF PROGRAM AND POLICY PLANNING	1
DEPARTMENT OF COMMERCE NATIONAL TELECOMMUNICATIONS AND INFORMATION ADMINISTRATION INSTITUTE FOR TELECOMMUNICATION SCIENCES	1
SOUTHERN FOREST EXPERIMENT STATION AND SOUTHEASTERN AREA STATE AND PRIVATE FORESTRY	1
FBI LABORATORY	1
DEPARTMENT OF COMMERCE NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION OFFICE OF OCEAN ENGINEERING	1
BUREAU OF LAND MANAGEMENT DEPARTMENT OF INTERIOR	1
CIVIL ENGINEERING LABORATORY	1
FEDERAL RESERVE BANK OF KANSAS CITY	1
DEPARTMENT OF HEALTH EDUCATON AND WELFARE PUBLIC HEALTH SERVICE CENTER FOR DISEASE CONTROL NATIONAL INSTITUTE FOR OCCUPATIONAL SAFETY AND HEALTH ROBERT A TAFT LABORATORIES	1
NATIONAL CENTER ON CHILD ABUSE AND NEGLECT CHILDREN BUREAU OFF OF CHILD DEVELOPMENT/OFF OF HUMAN DEVELOPMENT UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE	1
UNITED STATES DEPARTMENT OF TRANSPORTATION NATIONAL HIGHWAY SAFETY ADMINISTRATION AND MATERIALS TRANSPORTATION BUREAU	1
CENTRAL INTELLIGENCE AGENCY NATIONAL FOREIGN ASSESSMENT CENTER AVAILABLE FROM DOCEX PROJECT LIBRARY OF CONGRESS	1
CENTRAL INTELLIGENCE AGENCY NATIONAL FOREIGN ASSESSMENT CENTER AVAILABLE FROM DOCEX PROJECT LIBRARY OF CONGRESS 1978	1
DEPARTMENT OF LABOR BUREAU OF LABOR STATISTICS OFFICE OF WAGES AND INDUSTRIAL RELATIONS	1
DIRECTORATE FOR SCIENCE EDUCATION NATIONAL SCIENCE FOUNDATION	1
SAINT ELIZABETHS HOSPITAL	1
UNITED STATES DEPARTMENT OF COMMERCE NATIONAL FIRE PREVENTION AND CONTROL ADMINISTRATION	1
UNITED STATES DEPARTMENT OF AIR FORCE	1
DISTRIBUTED BY UNITED STATES BUREAU OF LAND MANAGEMENT	1
UNITED STATES DEPARTMENT OF LABOR BUREAU OF INTERNATIONAL LABOR AFFAIRS	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE HEALTH RESOURCES ADMINISTRATION BUREAU OF HEALTH MANPOWER	1
OFFICE OF ARCHEOLOGY AND HISTORIC PRESERVATION HERITAGE CONSERVATION AND RECREATION SERVICE UNITED STATES DEPARTMENT OF INTERIOR TECHNICAL PRESERVATION SERVICES DIVISION	1
DEPARTMENT OF COMMERCE BUREAU OF CENSUS GEOGRAPHY DIVISION	1
BUREAU OF LAND MANAGEMENT UNITED STATES DEPARTMENT OF INTERIOR DENVER SERVICE CENTER	1
AVAILABLE FROM PHOTODUPLICATION SERVICE LIBRARY OF CONGRESS	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF EDUCATION COMMUNITY EDUCATION ADVISORY COUNCIL	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE NATIONAL INSTITUTES OF HEALTH NATIONAL HEART LUNG AND BLOOD INSTITUTE	1
COASTAL ENGINEERING RESEARCH CENTER	1
JUDICIAL CONFERENCE OF UNITED STATES BICENTENNIAL COMMITTEE	1
HEW AUDIT AGENCY OFFICE OF INSPECTOR GENERAL DEPARTMENT OF HEALTH EDUCATION AND WELFARE	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE HEALTH RESOURCES ADMINISTRATION OFFICE OF HEALTH RESOURCES OPPORTUNITY	1
DISTRIBUTED BY NOAA/OFFICE OF OCEAN ENGINEERING	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE NATIONAL INSTITUTE OF HEALTH	1
UNITED STATES ARMY CORPS OF ENGINEERS NEW ENGLAND DIVISION	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFF OF EDUCATION	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE CENTER FOR DISEASE CONTROL BUREAU OF LABORATORIES	1
BEHAVIOR AND SYSTEMS RESEARCH LABORATORY	1
OFFICE OF CHIEF OF CHAPLAINS DEPARTMENT OF ARMY	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE FOOD AND DRUG ADMINISTRATION BUREAU OF VETERINARY MEDICINE	1
FEDERAL POWER COMMISSION OFFICE OF ECONOMICS	1
INTERNATIONAL CENTER FOR SOCIAL GERONTOLOGY	1
DEPARTMENT OF LABOR OFFICE OF ASSISTANT SECRETARY FOR POLICY EVALUATION AND RESEARCH	1
INSTITUTE FOR MATHEMATICAL STUDIES IN SOCIAL SCIENCES STANFORD UNIVERSITY	1
OFFICE OF INSPECTOR GENERAL DEPARTMENT OF HEALTH EDUCATION AND WELFARE AUDIT AGENCY	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE NATIONAL INSTITUTE OF NEUROLOGICAL AND COMMUNICATIVE DISORDERS AND STROKE	1
CALIFORNIA INSTITUTE OF TECHNOLOGY JET PROPULSION LABORATORY	1
UNITED STATES NATIONAL INSTITUES OF HEALTH	1
UNITED STATES NAVY HYDROGRAPHIC OFF	1
COMMITTEE ON HUMAN DEVELOPMENT UNIVERSITY OF CHICAGO	1
PUBLISHED BY NATIONAL AIR AND SPACE MUSEUM SMITHSONIAN INSTITUTION DISTRIBUTED BY SMITHSONIAN INSTITUTION PRESS	1
UNITED STATES NATIONAL SCIENCE FOUNDATION DIVISION OF SCIENCE INFORMATION	1
DENVER SERVICE CENTER	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF EDUCATION BUREAU OF HIGHER AND CONTINUING EDUCATION	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE OFFICE OF INTERNATIONAL HEALTH DIVISION OF PROGRAM ANALYSIS	1
NATIONAL SCIENCE FOUNDATION DIVISION OF INFORMATION SCIENCE AND TECHNOLOGY	1
SURVEY	1
BUREAU FOR INTRAGOVERNMENTAL AND INTERNATIONAL AFFAIRS AGENCY FOR INTERNATIONAL DEVELOPMENT	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE FOOD AND DRUG ADMINISTRATION BUREAU OF MEDICAL DEVICES	1
BEHAVIOR AND SYSTEMS RESEARCH LABORATORY OFFICE CHIEF OF RESEARCH AND DEVELOPMENT DEPARTMENT OF ARMY	1
DEPARTMENT OF TREASURY UNITED STATES SECRET SERVICE	1
UNITED STATES DEPARTMENT OF TRANSPORTATION FEDERAL AVIATION ADMINISTRATION OFFICE OF AVIATION POLICY AVIATION FORECAST BRANCH	1
UNIVERSITY OF COLORADO SCHOOL OF DENTISTRY	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF HUMAN DEVELOPMENT OFFICE OF CHILD DEVELOPMENT HEAD START BUREAU	1
UNITED STATES DEPARTMENT OF COMMERCE OFFICE OF SECRETARY	1
LAW ENFORCEMENT ASSISTANCE ADMINISTRATION NATIONAL INSTITUTE OF LAW ENFORCEMENT AND CRIMINAL JUSTICE UNITED STATES DEPARTMENT OF JUSTICE	1
DEPARTMENT OF COMMERCE NATIONAL BUREAU OF STANDARDS INSTITUTE FOR BASIC STANDARDS OPTICAL PHYSICS DIVISION	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE NATIONAL INSTITUTES OF HEALTH NATIONAL LIBRARY OF MEDICINE	1
OFFICE OF CIVIL DEFENSE	1
OFFICE OF ECONOMIC RESEARCH INTERNATIONAL TRADE COMMISSION	1
UNITED STATES DEPARTMENT OF TRANSPORTATION OFFICE OF UNIVERSITY RESEARCH AND TECHNOLOGY SHARING PROGRAM	1
JOINT FINANCIAL MANAGEMENT IMPROVEMENT PROGRAM	1
MUNICIPAL ENVIRONMENTAL RESEARCH LABORATORY	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE NATIONAL INSTITUTES OF HEALTH NATIONAL CANCER INSTITUTE ICRDB PROGRAM	1
DEPARTMENT OF DEFENSE DEFENSE CIVIL PREPAREDNESS AGENCY	1
DISEASE SURVEILLANCE BRANCH EPIDEMIOLOGY DIVISION USAF SCHOOL OF AEROSPACE MEDICINE AEROSPACE MEDICAL DIVISION AFSC	1
NATIONAL COUNCIL OF SENIOR CITIZENS	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE OFFICE OF LONG TERM CARE	1
DEPARTMENT OF JUSTICE LAW ENFORCDEMENT ASSISTANCE ADMINISTRATION OFFICE OF JUVENILE JUSTICE AND DELINQUENCY PREVENTION NATIONAL INSTITUTE FOR JUVENILE JUSTICE AND DELINQUENCY PREVENTION	1
FBI	1
AVAILABLE THROUGH CLEARINGHOUSE COMMITTEE ON FOR FEDERAL SCIENTIFIC AND TECHNICAL INFORMATION	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF EDUCATION NATIONAL CENTER FOR EDUCATIONAL RESEARCH AND DEVELOPMENT	1
ENVIRONMENTAL PROTECTION AGENCY OFFICE OF RESEARCH AND DEVELOPMENT ENVIRONMENTAL RESEARCH LABORATORY	1
UNITED STATES DEPARTMENT OF COMMERCE OFFICE OF MINORITY BUSINESS ENTERPRISE	1
UNITED STATES DEPARTMENT OF COMMERCE DOMESTIC AND INTERNATIONAL BUSINESS ADMINISTRATION	1
DEPARTMENT OF DEFENSE DEPARTMENT OF AIR FORCE DCS/PROGRAMS AND RESOURCES DIRECTORATE ENGINEERING AND SERVICES ENVIRONMENTAL PLANNING DIVISION	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE NATIONAL INSTITUTES OF HEALTH NATIONAL LIBRARY OF MEDICINE NATIONAL MEDICAL AUDIOVISUAL CENTER	1
DEPARTMENT OF JUSTICE LAW ENFORCEMENT ASSISTANCE ADMINISTRATION NATIONAL ADVISORY COMMITTEE ON CRIMINAL JUSTICE STANDARDS AND GOALS	1
DEPARTMENT OF ARMY ST PAUL DISTRICT CORPS OF ENGINEERS	1
DIVISION OF SPECIAL PROJECTS BUREAU OF CONSUMER PROTECTION	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE NATIONAL INSTITUTES OF HEALTH NATIONAL INSTITUTE OF ARTHRITIS METABOLISM AND DIGESTIVE DISEASES	1
HAER	1
DIVISION OF GRANTS OFFICE OF ARCHEOLOGY AND HISTORIC PRESERVATION NATIONAL PARK SERVICE UNITED STATES DEPARTMENT OF INTERIOR	1
UNITED STATES DEPARTMENT OF INTERIOR BUREAU OF INDIAN AFFAIRS BRANCH OF LAND OPERATIONS	1
OFFICE OF AIR HISTORY	1
CULTURAL RESOURCES MANAGEMENT DIVISION NATIONAL PARK SERVICE UNITED STATES DEPARTMENT OF INTERIOR	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE NATIONAL INSTITUTE OF EDUCATION EDUCATION AND WORK GROUP	1
UNITED STATES DEPARTMENT OF JUSTICE FEDERAL BUREAU OF INVESTIGATION	1
FEDERAL TRADE COMMISSION BUREAU OF ECONOMICS DIVISION OF INDUSTRY ANALYSIS	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE SOCIAL AND REHABILITATION SERVICE ASSISTANCE PAYMENTS ADMINISTRATION	1
DEFENSE CIVIL PREPAREDNESS AGENCY	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF HUMAN DEVELOPMENT OFFICE OF CHILD DEVELOPMENT	1
DEPARTMENT OF INTERIOR NATIONAL PETROLEUM RESERVE IN ALASKA 105 C LAND USE STUDY	1
UNITED STATES DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT SOLAR DEMONSTRATION PROGRAM	1
KRAUS REPRINT CORP	1
SMITHSONIAN INSTITUTION PRESS IN COOPERATION WITH WORLD WILDLIFE FUND	1
GOTT PRINT OFF	1
1849	1
BUREAU OF LAND MANAGEMENT CALIF DESERT DISTRICT	1
DENVER SERVICE CENTER NATIONAL PARK SERVICE UNITED STATES DEPARTMENT OF INTERIOR	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE OFFICE OF ASSISTANT SECRETARY FOR HEALTH SURGEON GENERAL	1
DEPARTMENT OF HEALTH AND HUMAN SERVICES HEALTH CARE FINANCING ADMINISTRATION HEALTH STANDARDS AND QUALITY BUREAU DIVISION OF PEER REVIEW	1
ERIC CLEARINGHOUSE COMMITTEE ON ON INFORMATION RESOURCES SYRACUSE UNIVERSITY	1
LIBRARY OF CONGRESS COPYRIGHT OFFICE	1
UNITED STATES DEPARTMENT OF AGRICULTURE SCIENCE AND EDUCATION ADMINISTRATION TECHNICAL INFORMATION SYSTEMS CURRENT RESEARCH INFORMATION SYSTEM	1
WESTERN ARCHEOLOGICAL CENTER	1
SMITHSONIAN INSTITUTION PRESS DISTRIBUTED BY BRAZILLER NEW YORK	1
NATIONAL INSTITUTE OF CORRECTIONS	1
ISSUED BY CAPITOL CENTENNIAL COMMITTEE	1
HITTMAN ASSOCIATES	1
GENERAL RESEARCH CORPORATION	1
UNITED STATES DEPARTMENT OF COMMERCE UNITED STATES TRAVEL SERVICE OFFICE OF RESEARCH AND ANALYSIS	1
DEPARTMENT OF TRANSPORTATION FEDERAL AVIATION ADMINISTRATION OFFICE OF AVIATION ADMINISTRATION OFFICE OF AVIATION POLICY AVIATION FORECAST BRANCH ASPRINGFIELD VA	1
UTAH STATE OFFICE BUREAU OF LAND MANAGEMENT	1
COOPER-HEWITT MUSEUM	1
NATIONAL MUSEUM OF AMERICAN HISTORY SMITHSONIAN INSTITUTION	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE HEALTH CARE FINANCING ADMINISTRATION MEDICAID BUREAU	1
UNITED STATES ATOMIC ENERGY COMMISSION	1
DISTRIBUTED BY UNIVERSITY OF WASHINGTON PRESS	1
UNITED STATES DEPARTMENT OF COMMERCE NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION OFFICE OF MARINE POLLUTION ASSESSMENT	1
NATIONAL COMMISSION ON UNEMPLOYMENT COMPENSATION	1
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT OFFICE OF POLICY DEVELOPMENT AND RESEARCH DIVISION OF PRODUCT DISSEMINATION AND TRANSFER	1
ARMED FORCES INSTITUTE OF PATHOLOGY	1
OFFICE OF POLICY PLANNING FEDERAL TRADE COMMISSION	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE OFFICE OF HEALTH MAINTENANCE ORGANIZATIONS	1
UNITED STATES DEPARTMENT OF TRANSPORTATION FEDERAL HIGHWAY ADMINISTRATION PROGRAM COORDINATION DIVISION OFFICE OF PROGRAM AND POLICY PLANNING OFFICE OF PUBLIC AFFAIRS URBAN MASS TRANSPORTATION ADMINISTRATION OFFICE OF PUBLIC AFFAIRS	1
TEACHERS COLLEGE PRESS TEACHERS COLLEGE COLUMBIA UNIVERSITY	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE SOCIAL REHABILITATION SERVICE	1
JAPAN-UNITED STATES ECONOMIC RELATIONS GROUP	1
INSTITUTE FOR DEFENSE ANALYSES	1
UNITED STATES DEPARTMENT OF EDUCATION REHABILITATION SERVICES ADMINISTRATION	1
PRESIDENT REORGANIZATION PROJECT OFFICE OF MANAGEMENT AND BUDGET	1
NATIONAL CENTER ON CHILD ABUSE AND NEGLECT UNITED STATES CHILDREN BUREAU ADMINISTRATION FOR CHILDREN YOUTH AND FAMILIES OFFICE OF HUMAN DEVELOPMENT SERVICES UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION NATIONAL INSTITUTE OF MENTAL HEALTH DIVISION OF SPECIAL MENTAL HEALTH PROGRAMS CENTER FOR STUDIES OF MENTAL HEALTH OF AGING	1
ADVISORY COMMISSION ON INTERGOVERNMANTAL RELATIONS	1
ADVISORY COMMISSION ON INTERGOVERNMENTAL RELATIONS UNITED STATES GPO	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF ASSISTANT SECRETARY FOR HUMAN DEVELOPMENT OFFICE FOR HANDICAPPED INDIVIDUALS	1
DEPARTMENT OF COMMERCE NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION OFFICE OF OCEANIC AND ADMINISTRATIVE SERVICES NATIONAL OCEAN SURVEY	1
STATE ASSISTANCE BRANCH NATIONAL INSTITUTE ON ALCOHOL ABUSE AND ALCOHOLISM ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION	1
DENTAL SCIENCES DEPARTMENT NAVAL MEDICAL RESEARCH INSTITUTE BUREAU OF MEDICINE AND SURGERY DEPARTMENT OF NAVY	1
DEPARTMENT OF NAVY NAVAL RESEARCH LABORATORY	1
DIRECTOR	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE HEALTH RESOURCES ADMINISTRATION DIVISION OF MEDICINE	1
OFFICE OF TECHNOLOGY ASSESSMENT CONGRESS OF UNITED STATES	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE REGION III	1
BUREAU OF OCCUPATIONAL AND ADULT EDUCATION UNITED STATES OFFICE OF EDUCATION DEPARTMENT OF HEALTH EDUCATION AND WELFARE	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE ADMINISTRATION FOR CHILDREN YOUTH AND FAMILIES CHILDREN BUREAU NATIONAL CENTER ON CHILD ABUSE AND NEGLECT	1
DISTRIBUTED BY NTIS	1
DEPARTMENT OF COMMERCE NATIONAL BUREAU OF STANDARDS NATIONAL ENGINEERING LABORATORY CENTER FOR BUILDING TECHNOLOGY	1
UNITED STATES DEPARTMENT OF ENERGY TECHNICAL INFORMATION CENTER	1
DEPARTMENT OF TRANSPORTATION NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION TRAFFIC SAFETY PROGRAMS OFFICE OF DRIVER AND PEDESTRIAN PROGRAMS	1
UNITED STATES DEPARTMENT OF COMMERCE NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION ENVIRONMENTAL DATA SERVICE	1
FEDERAL TRADE COMMISSION BUREAU OF CONSUMER PROTECTON	1
